case_id,industry,trigger,year,region,severity,notes
SC-001,汽车,芯片短缺,2021,全球,高,疫情叠加需求反弹
SC-002,半导体,台积电产能,2021,亚太,高,旱灾影响用水
SC-003,消费电子,港口拥堵,2021,北美,中,LA/LB港堵塞
SC-004,医疗器械,原材料短缺,2020,全球,高,PPE供应链崩溃
SC-005,汽车,日本地震,2022,亚太,中,关键零部件停产
SC-006,半导体,地缘政治,2022,全球,高,出口管制影响
SC-007,消费电子,俄乌冲突,2022,欧洲,中,氖气供应中断
SC-008,汽车,上海封控,2022,亚太,高,整车厂停产6周
SC-009,半导体,Intel良率,2023,全球,低,技术问题非外部冲击
SC-010,消费电子,红海危机,2024,全球,中,运费上涨 300%
SC-011,汽车,墨西哥工厂,2024,北美,低,劳资纠纷短暂停产
SC-012,医疗器械,FDA审查,2023,北美,中,合规问题导致召回
SC-013,半导体,美国CHIPS法案,2023,全球,中,投资格局重塑
SC-014,消费电子,苹果印度产能,2023,亚太,低,多元化供应初见成效
SC-015,汽车,电池原材料,2023,全球,中,锂价波动影响BOM
SC-016,半导体,荷兰ASML限制,2023,全球,高,EUV光刻机出口管制
SC-017,消费电子,库存周期,2023,全球,中,消费电子去库存
SC-018,医疗器械,中国原料药,2024,亚太,中,API供应商认证延迟
SC-019,汽车,软件供应链,2024,全球,低,OTA更新问题
SC-020,半导体,台湾地震,2024,亚太,高,台南厂区短暂停产
SC-021,消费电子,AI算力需求,2024,全球,低,非中断，属需求驱动
SC-022,汽车,欧盟碳关税,2025,欧洲,中,供应商资质重审
SC-023,医疗器械,GMP认证,2025,全球,中,多国同步收紧监管
SC-024,半导体,CoWoS封装,2024,亚太,中,先进封装产能瓶颈
SC-025,消费电子,关税壁垒,2025,北美,高,中美贸易摩擦新轮
SC-026,汽车,固态电池,2025,全球,低,技术切换尚未成熟
SC-027,医疗器械,数据安全,2025,全球,中,供应商数据泄露
SC-028,半导体,日本材料,2025,亚太,低,氟化氢替代方案落地
